name,strand,Assay title,ontology_curie,biosample_name,biosample_type,biosample_life_stage,gtex_tissue,data_source,endedness,genetically_modified,nonzero_mean,grp
CL:0000312 polyA plus RNA-seq,.,polyA plus RNA-seq,CL:0000312,keratinocyte,primary_cell,unknown,,encode,paired,False,0.21481777727603912,SKIN
CL:0000515 polyA plus RNA-seq,.,polyA plus RNA-seq,CL:0000515,skeletal muscle myoblast,primary_cell,unknown,,encode,paired,False,0.4000442624092102,MUSCLE
CL:0000624 polyA plus RNA-seq,.,polyA plus RNA-seq,CL:0000624,"CD4-positive, alpha-beta T cell",primary_cell,adult,,encode,paired,False,0.13023579120635986,IMMUNE
CL:0000625 polyA plus RNA-seq,.,polyA plus RNA-seq,CL:0000625,"CD8-positive, alpha-beta T cell",primary_cell,adult,,encode,paired,False,0.12493370473384857,IMMUNE
CL:0000746 polyA plus RNA-seq,.,polyA plus RNA-seq,CL:0000746,cardiac muscle cell,in_vitro_differentiated_cells,embryonic,,encode,single,False,0.2051399201154709,HEART
CL:0000788 polyA plus RNA-seq,.,polyA plus RNA-seq,CL:0000788,naive B cell,primary_cell,unknown,,encode,paired,False,0.23227384686470032,IMMUNE
CL:0000792 polyA plus RNA-seq,.,polyA plus RNA-seq,CL:0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",primary_cell,unknown,,encode,paired,False,0.2904275953769684,IMMUNE
CL:0000823 polyA plus RNA-seq,.,polyA plus RNA-seq,CL:0000823,immature natural killer cell,primary_cell,unknown,,encode,paired,False,0.3934170603752136,IMMUNE
CL:0000895 polyA plus RNA-seq,.,polyA plus RNA-seq,CL:0000895,"naive thymus-derived CD4-positive, alpha-beta T cell",primary_cell,unknown,,encode,paired,False,0.36405277252197266,IMMUNE
CL:0000897 polyA plus RNA-seq,.,polyA plus RNA-seq,CL:0000897,"CD4-positive, alpha-beta memory T cell",primary_cell,unknown,,encode,paired,False,0.3783103823661804,IMMUNE
CL:0000900 polyA plus RNA-seq,.,polyA plus RNA-seq,CL:0000900,"naive thymus-derived CD8-positive, alpha-beta T cell",primary_cell,unknown,,encode,paired,False,0.3450876772403717,IMMUNE
CL:0000909 polyA plus RNA-seq,.,polyA plus RNA-seq,CL:0000909,"CD8-positive, alpha-beta memory T cell",primary_cell,unknown,,encode,paired,False,0.5657815933227539,IMMUNE
CL:0001053 polyA plus RNA-seq,.,polyA plus RNA-seq,CL:0001053,IgD-negative memory B cell,primary_cell,unknown,,encode,paired,False,0.5707902908325195,IMMUNE
CL:0001054 polyA plus RNA-seq,.,polyA plus RNA-seq,CL:0001054,CD14-positive monocyte,primary_cell,unknown,,encode,paired,False,0.6615868806838989,IMMUNE
CL:0001059 polyA plus RNA-seq,.,polyA plus RNA-seq,CL:0001059,"common myeloid progenitor, CD34-positive",primary_cell,adult,,encode,paired,False,0.17284150421619415,
CL:0002553 polyA plus RNA-seq,.,polyA plus RNA-seq,CL:0002553,fibroblast of lung,primary_cell,unknown,,encode,paired,False,0.46712785959243774,
CL:0002618 polyA plus RNA-seq,.,polyA plus RNA-seq,CL:0002618,endothelial cell of umbilical vein,primary_cell,newborn,,encode,paired,False,0.34657302498817444,ARTERY
CL:0011022 polyA plus RNA-seq,.,polyA plus RNA-seq,CL:0011022,fibroblast of skin of back,primary_cell,embryonic,,encode,single,False,0.7832281589508057,
CL:2000013 polyA plus RNA-seq,.,polyA plus RNA-seq,CL:2000013,fibroblast of skin of abdomen,primary_cell,embryonic,,encode,single,False,0.6885204911231995,
CLO:0007045 polyA plus RNA-seq,.,polyA plus RNA-seq,CLO:0007045,"Jurkat, Clone E6-1",cell_line,child,,encode,single,False,1.3723630905151367,
EFO:0000572 gtex Cells_EBV-transformed_lymphocytes polyA plus RNA-seq,.,polyA plus RNA-seq,EFO:0000572,lymphoblast,tissue,adult,Cells_EBV-transformed_lymphocytes,gtex,paired,False,0.06413153558969498,
EFO:0001187 polyA plus RNA-seq,.,polyA plus RNA-seq,EFO:0001187,HepG2,cell_line,child,,encode,paired,False,0.2669706642627716,LIVER
EFO:0001203 polyA plus RNA-seq,.,polyA plus RNA-seq,EFO:0001203,MCF-7,cell_line,adult,,encode,paired,False,0.2495776116847992,
EFO:0002009 gtex Cells_Cultured_fibroblasts polyA plus RNA-seq,.,polyA plus RNA-seq,EFO:0002009,fibroblast derived cell line,tissue,adult,Cells_Cultured_fibroblasts,gtex,paired,False,0.05656168609857559,
EFO:0002067 polyA plus RNA-seq,.,polyA plus RNA-seq,EFO:0002067,K562,cell_line,adult,,encode,paired,False,0.24082602560520172,
EFO:0002713 polyA plus RNA-seq,.,polyA plus RNA-seq,EFO:0002713,Panc1,cell_line,adult,,encode,single,False,1.0050067901611328,
EFO:0002784 polyA plus RNA-seq,.,polyA plus RNA-seq,EFO:0002784,GM12878,cell_line,adult,,encode,paired,False,0.24893425405025482,IMMUNE
EFO:0002785 polyA plus RNA-seq,.,polyA plus RNA-seq,EFO:0002785,GM12891,cell_line,unknown,,encode,paired,False,0.2509686350822449,
EFO:0002786 polyA plus RNA-seq,.,polyA plus RNA-seq,EFO:0002786,GM12892,cell_line,unknown,,encode,paired,False,0.1818031668663025,
EFO:0002791 polyA plus RNA-seq,.,polyA plus RNA-seq,EFO:0002791,HeLa-S3,cell_line,adult,,encode,paired,False,0.2589356601238251,
EFO:0002824 polyA plus RNA-seq,.,polyA plus RNA-seq,EFO:0002824,HCT116,cell_line,adult,,encode,paired,False,0.3129168152809143,
EFO:0003042 polyA plus RNA-seq,.,polyA plus RNA-seq,EFO:0003042,H1,cell_line,embryonic,,encode,paired,False,0.19382283091545105,
EFO:0003072 polyA plus RNA-seq,.,polyA plus RNA-seq,EFO:0003072,SK-N-SH,cell_line,child,,encode,single,False,0.7414088845252991,
EFO:0005234 polyA plus RNA-seq,.,polyA plus RNA-seq,EFO:0005234,PFSK-1,cell_line,child,,encode,single,False,1.2181520462036133,
EFO:0005237 polyA plus RNA-seq,.,polyA plus RNA-seq,EFO:0005237,U-87 MG,cell_line,adult,,encode,single,False,1.1521613597869873,
EFO:0005714 polyA plus RNA-seq,.,polyA plus RNA-seq,EFO:0005714,LHCN-M2,cell_line,adult,,encode,paired,False,0.32134950160980225,
EFO:0005723 polyA plus RNA-seq,.,polyA plus RNA-seq,EFO:0005723,GM23248,cell_line,adult,,encode,single,False,0.43325719237327576,
EFO:0005725 polyA plus RNA-seq,.,polyA plus RNA-seq,EFO:0005725,BE2C,cell_line,child,,encode,single,False,0.8952913284301758,
EFO:0007950 polyA plus RNA-seq,.,polyA plus RNA-seq,EFO:0007950,GM23338,cell_line,adult,,encode,single,False,0.21331246197223663,
EFO:0009747 total RNA-seq,.,total RNA-seq,EFO:0009747,WTC11,cell_line,adult,,encode,paired,False,0.24785810708999634,
NTR:0000524 polyA plus RNA-seq,.,polyA plus RNA-seq,NTR:0000524,fibroblast of skin of scalp,primary_cell,embryonic,,encode,single,False,0.7250751852989197,
