name,strand,Assay title,ontology_curie,biosample_name,biosample_type,data_source,nonzero_mean,grp
hCAGE UBERON:0002148,+,hCAGE,UBERON:0002148,locus ceruleus,tissue,fantom,9.926314353942871,
hCAGE UBERON:0002171,+,hCAGE,UBERON:0002171,lower lobe of right lung,tissue,fantom,65.2254638671875,
hCAGE UBERON:0002240,+,hCAGE,UBERON:0002240,spinal cord,tissue,fantom,15.438720703125,BRAIN
hCAGE UBERON:0002331,+,hCAGE,UBERON:0002331,umbilical cord,tissue,fantom,234.72250366210938,
hCAGE UBERON:0002336,+,hCAGE,UBERON:0002336,corpus callosum,tissue,fantom,31.147842407226562,
hCAGE UBERON:0002360,+,hCAGE,UBERON:0002360,meninx,tissue,fantom,67.7375717163086,
hCAGE UBERON:0002363,+,hCAGE,UBERON:0002363,dura mater,tissue,fantom,34.17447280883789,
hCAGE UBERON:0002367,+,hCAGE,UBERON:0002367,prostate gland,tissue,fantom,47.3486328125,
hCAGE UBERON:0002369,+,hCAGE,UBERON:0002369,adrenal gland,tissue,fantom,829.8981323242188,
hCAGE UBERON:0002370,+,hCAGE,UBERON:0002370,thymus,tissue,fantom,22.066835403442383,IMMUNE
hCAGE UBERON:0002371,+,hCAGE,UBERON:0002371,bone marrow,tissue,fantom,23.103410720825195,
hCAGE UBERON:0002372,+,hCAGE,UBERON:0002372,tonsil,tissue,fantom,45.03621292114258,
hCAGE UBERON:0002448,+,hCAGE,UBERON:0002448,fungiform papilla,tissue,fantom,17.252410888671875,
hCAGE UBERON:0002581,+,hCAGE,UBERON:0002581,postcentral gyrus,tissue,fantom,30.33321762084961,
hCAGE UBERON:0002702,+,hCAGE,UBERON:0002702,middle frontal gyrus,tissue,fantom,15.349337577819824,
hCAGE UBERON:0002771,+,hCAGE,UBERON:0002771,middle temporal gyrus,tissue,fantom,10.49127197265625,
hCAGE UBERON:0002902,+,hCAGE,UBERON:0002902,occipital pole,tissue,fantom,36.809513092041016,
hCAGE UBERON:0003112,+,hCAGE,UBERON:0003112,olfactory region,tissue,fantom,32.72511672973633,
hCAGE UBERON:0003126,+,hCAGE,UBERON:0003126,trachea,tissue,fantom,33.11235046386719,
hCAGE UBERON:0003701,+,hCAGE,UBERON:0003701,calcaneal tendon,tissue,fantom,37.92416000366211,
hCAGE UBERON:0003729,+,hCAGE,UBERON:0003729,mouth mucosa,primary_cell,fantom,74.475830078125,
hCAGE UBERON:0004225,+,hCAGE,UBERON:0004225,respiratory system smooth muscle,primary_cell,fantom,21.150630950927734,
hCAGE UBERON:0005795,+,hCAGE,UBERON:0005795,embryonic uterus,tissue,fantom,100.48787689208984,
hCAGE UBERON:0006322,+,hCAGE,UBERON:0006322,inferior rectus extraocular muscle,tissue,fantom,34.49079513549805,
hCAGE UBERON:0006323,+,hCAGE,UBERON:0006323,superior rectus extraocular muscle,tissue,fantom,46.73567199707031,
hCAGE UBERON:0006659,+,hCAGE,UBERON:0006659,cruciate ligament of knee,tissue,fantom,23.395980834960938,
hCAGE UBERON:0007023,+,hCAGE,UBERON:0007023,adult organism,primary_cell,fantom,53.7227668762207,
hCAGE UBERON:0007190,+,hCAGE,UBERON:0007190,paracentral gyrus,tissue,fantom,29.09084129333496,
hCAGE UBERON:0008198,+,hCAGE,UBERON:0008198,nail plate,tissue,fantom,43.569461822509766,
hCAGE UBERON:0013777,+,hCAGE,UBERON:0013777,skin of palm of manus,tissue,fantom,43.870784759521484,SKIN
LQhCAGE CL:0000077,-,LQhCAGE,CL:0000077,mesothelial cell,primary_cell,fantom,272.4184265136719,
LQhCAGE CL:0000136,-,LQhCAGE,CL:0000136,fat cell,primary_cell,fantom,41.71626663208008,IMMUNE
LQhCAGE CL:0000767,-,LQhCAGE,CL:0000767,basophil,primary_cell,fantom,59.45576095581055,
LQhCAGE CL:0000771,-,LQhCAGE,CL:0000771,eosinophil,primary_cell,fantom,119.22451782226562,
LQhCAGE CL:0000775,-,LQhCAGE,CL:0000775,neutrophil,primary_cell,fantom,339.38720703125,IMMUNE
LQhCAGE CL:0000784,-,LQhCAGE,CL:0000784,plasmacytoid dendritic cell,primary_cell,fantom,103.1607666015625,IMMUNE
LQhCAGE CL:0000840,-,LQhCAGE,CL:0000840,immature conventional dendritic cell,primary_cell,fantom,826.5433959960938,IMMUNE
LQhCAGE CL:0000895,-,LQhCAGE,CL:0000895,"naive thymus-derived CD4-positive, alpha-beta T cell",primary_cell,fantom,91.95846557617188,IMMUNE
LQhCAGE CL:0002092,-,LQhCAGE,CL:0002092,bone marrow cell,primary_cell,fantom,112.50702667236328,
LQhCAGE CL:0002166,-,LQhCAGE,CL:0002166,epithelial cell of Malassez,primary_cell,fantom,278.642333984375,
LQhCAGE CL:0002167,-,LQhCAGE,CL:0002167,olfactory epithelial cell,primary_cell,fantom,78.36111450195312,
LQhCAGE CL:0002193,-,LQhCAGE,CL:0002193,myelocyte,primary_cell,fantom,242.18133544921875,
LQhCAGE CL:0002397,-,LQhCAGE,CL:0002397,"CD14-positive, CD16-positive monocyte",primary_cell,fantom,75.36024475097656,IMMUNE
LQhCAGE CL:0002677,-,LQhCAGE,CL:0002677,naive regulatory T cell,primary_cell,fantom,60.0953369140625,IMMUNE
LQhCAGE UBERON:0012168,-,LQhCAGE,UBERON:0012168,umbilical cord blood,primary_cell,fantom,1110.8236083984375,
